"title","author","year","journal","abstract","research_areas","label","screened_abstracts","notes"
"Photo-physiology and morphology reveal divergent warming responses in northern and southern hemisphere seagrasses","Hung Manh Nguyen and Bulleri, Fabio and Marin-Guirao, Lazaro and Pernice, Mathieu and Procaccini, Gabriele","2021","Marine Biology","A better understanding of species and population responses to thermal stress is critical to predict changes in their distribution under warming scenarios. Seagrasses are a unique group of marine plants that play fundamental roles in marine environments and provide vital ecosystem services. Nevertheless, previous studies on seagrass thermal tolerance have focused exclusively on a handful of species, with the majority of these remaining virtually unexplored. Moreover, to date, no study has compared the response to thermal stress between northern and southern hemisphere seagrasses. Here, we conducted comparative mesocosm experiments using four seagrass species from the northern (i.e. Mediterranean: Posidonia oceanica, Cymodocea nodosa) and southern (i.e. Australia: Posidonia australis and Zostera muelleri) hemisphere as representative of two different life strategies, i.e. climax (P. oceanica, P. australis) and pioneer (C. nodosa, Z. muelleri). Plants acclimatized to the mesocosm conditions at ambient temperature (i.e. 26 degrees C) during a 5-week period, were exposed to a simulated marine heatwave (i.e. 32 degrees C) for 2 weeks. Measurements of plant responses, including photo-physiology, morphology, and pigment content, were performed at the end of the warming exposure. Results showed that warming had no significant effects on photosynthetic performances of northern hemisphere seagrasses while negatively impacted their southern hemisphere counterparts. Similarly, warming favored the growth of northern hemisphere plants, but strongly inhibited the development of southern hemisphere species. Furthermore, photo-physiological and pigment content results suggested pioneer seagrasses better dealt with warming than climax species. Our study provides more insights into the field of seagrass ecology and yields potential implication for future seagrass conservation and restoration activities.","Marine \& Freshwater Biology","2021.6232",NA,""
"Thermal Stress Analysis of IGBT Modules in VSCs for PMSG in Large Offshore Wind Energy Conversion Systems","Pittini, Riccardo and D'Arco, Salvatore and Hernes, Magnar and Petterteig, Astrid","2011","NANA","Components for offshore wind farms are required to be highly reliable due to harsh environmental conditions and poor accessibility for maintenance. Direct-Drive Permanent Magnet Synchronous Generator (PMSG) connected with back to back converters represents an attractive solution for large offshore Wind Energy Conversion Systems (WECSs). Large direct driven Wind Turbine Generators (WTGs) operate at lower speed compared to conventional geared WTs with operating frequencies that can be as low as 6-13 Hz (e. g. Enercon). The low operating frequencies introduce a continuous power cycling of the semiconductor devices and can lead to a reduced lifetime of the generator side converter. Accurate thermal models integrated with circuital simulations can assist in predicting these stresses and in analyzing countermeasures. This paper describes a method for thermal analysis of power converters based on a custom developed module in PSCAD/ETMDC that implements a thermal model running in parallel to the electrical simulations. The custom module calculates the power dissipation and the temperature of the devices based on their physical characteristics and on their operating conditions derived from the electrical simulation. The method is applied for the analysis of a Voltage Source Converter (VSC) connected to the PMSG in a Direct Drive WECS. The simulations prove that the worst operating condition for the generator side converter in the sample system examined is represented by the turbine generating at its rated power. The temperature swings over the power semiconductors at lower power and lower generator frequency induce a minor stress. However, the worst operating condition may not correspond to the rated power in other cases especially for Direct Drive PMSG-WTs with a relatively low number of poles.","Engineering","2011.8179",NA,""
"Depth Affects Seagrass Restoration Success and Resilience to Marine Heat Wave Disturbance","Aoki, Lillian R. and McGlathery, Karen J. and Wiberg, Patricia L. and Al-Haj, Alia","2020","Estuaries And Coasts","Accelerating losses of seagrass meadows motivate the restoration of these highly productive and beneficial ecosystems. Understanding how environmental parameters including depth and temperature affect restoration trajectories through time is key to conserving and restoring seagrass meadows. We used a long-term (12-year), landscape-scale experiment to test the effect of depth on eelgrass (Zostera marina) restoration success and resilience to a marine heat wave (MHW) disturbance. We found that depth was a critical determinant of seagrass restoration success, with no long-term success at sites deeper than 1.5 m below mean sea level (MSL) or shallower than - 0.8 m MSL. Seeds germinated below - 1.5 m MSL, but shoots did not persist, confirming earlier predictions from a hydrodynamic-vegetation model. Depth was also a significant predictor of seagrass resilience following MHW disturbance. Our results suggest that areas of restored seagrass that are resilient to temperature stress exist across an intermediate depth range, excluding the shallowest and deepest portions of the full habitable depth range for restored seagrass. Over the next decades, sea-level rise will likely affect both the habitable area and the resilient area, available for seagrass restoration. However, seagrass enhancement of sediment accretion may at least partially offset sea-level rise rates. As ocean temperatures warm and MHWs occur more frequently, the resilience of seagrass meadows to temperature stress will be of increasing concern. These results suggest that depth is a critical parameter that will help determine what areas are most resilient and therefore most suitable for conservation and restoration.","Environmental Sciences \& Ecology; Marine \& Freshwater Biology","2020.14794","selected",""
"Adaptation to Climate Change","Bedsworth, Louise W. and Hanak, Ellen","2010","Journal Of The American Planning Association","Problem: Even if significant reductions in global greenhouse gas emissions are achieved, some amount of climate change appears to be inevitable. Local, regional, state, and federal planning and regulation should begin to address how to adapt to these changes. Purpose: This article presents a policy synthesis of adaptation planning issues, using California as a case study. We examine the institutional and regulatory challenges and tradeoffs that climate change poses in six particularly vulnerable areas: water resources, electricity, coastal resources, air quality, public health, and ecosystem resources. We discuss obstacles to adaptation planning and successes overcoming these barriers, and suggest how planning can incorporate adaptation. Methods: This article presents a policy synthesis of adaptation planning issues, drawing on our recent research on California's experience and related literature. We summarize the results of six studies that draw on quantitative and qualitative information gathered through surveys, interviews, and literature review. Results and conclusions: Planners should use forward-looking climate data that include higher water and air temperatures, sea-level rise, and increased numbers of extreme events like heat waves, floods, and wildfires when making decisions about future development, infrastructure investments, open-space protection, and disaster preparedness. Climate change will exacerbate conflicts between goals for economic development, habitat protection, and public safety, requiring stronger interagency coordination and new laws and regulations. Takeaway for practice: Local and regional planners can help society adapt to a changing climate by using the best available science, deciding on goals and early actions, locating relevant partners, identifying and eliminating regulatory barriers, and encouraging the introduction of new state mandates and guidelines. Research support: Partial support for this research was provided by Pacific Gas and Electric, The Nature Conservancy, and Next 10.","Public Administration; Urban Studies","2010.466",NA,""
"Cost optimized dynamic design of offshore windfarm transformers with reliability and contingency considerations","Kazmi, S.H.H. and Laneryd, T. and Giannikas, K. and Ahrenfeldt, S.F. and SÃ¸rensen, T.S. and Olesen, T.H. and HolbÃ¸ll, J.","2021","International Journal Of Electrical Power And Energy Systems","Application of Dynamic Thermal Rating (DTR) for optimal utilization of transmission system components has been addressed in several studies. For Offshore Wind Power Plants (OWPPs), as a consequence of intermittent wind generation combined with favorable ambient conditions and strict design regulations, power transformers tend to be over-dimensioned. Experience suggests that transformer lifetime exceeds OWPP life by tens of years, therefore DTR-based design of transformers can facilitate the optimization of OWPP export system. The recent breakthroughs in Thermo-Electric Equivalent (TEE) and aging models of transformers suggest that temporal development of Top Oil (TOT) and Hot Spot (HST) temperatures can be calculated efficiently, which when combined with monitoring of moisture and oxygen development can accurately assess the transformer health in real-time using Degree of Polymerization (DP). However, the economic optimization of offshore windfarms substations using DTR and lifetime utilization-based transformer design during the OWPP planning phase has not been addressed in the literature due to the risks involved in balancing system reliability with windfarm profitability. In this paper, a novel strategy is proposed to utilize transformer DTR for cost optimization of offshore windfarm export system during the OWPP design phase. Net Present Value (NPV) is used to assess capital cost impacts on transformer and Offshore Substation (OSS) design in year 0, and yearly revenue change over OWPP lifetime due to increased losses and possible energy curtailment as a result of smaller transformers. The unique methodology accounts for varying wind turbine availability due to maintenance and concurs with OWPP design requirements for OSS transformer contingency by generating statistical scenarios based on distribution functions and Markov Chain (MC) models respectively. Moreover, the MC models are adapted for two fundamentally different design concepts for OWPP export system: n-1 contingent and non-contingent. The implementation of probabilistic Markov models to resolve stressful periods with increased transformer loading is distinctive to this paper and offers a unique perspective for DTR-based transformer size optimization. Long-term site assessment data for OWPP including historical wind generation is used for transformer thermal assessment (TOT and HST) based on its load and ambient conditions. Furthermore, the reliability of design for varying construction and commissioning conditions is ensured by tracking DP-based transformer lifetime utilization over the operation period for three scenarios of oxygen and moisture development: conservative, high moisture and high oxygen. The case study of a 1200 MW offshore windfarm with two 220 kV parallel export circuits and four 33/220 kV transformers in one OSS located 50 km off the east coast of UK has been used in this paper. 100 scenarios of wind turbine availability and transformer contingency are simulated and the optimal design is determined for the worst-case scenario. Results indicate that optimal transformer rating can result in high thermal stress and minor energy curtailment during extreme contingency conditions for both the design concepts. However, the reduction in transformer size to align with OWPP operation life can reliably improve the windfarm business case significantly, particularly for the n-1 contingent design concept with conservative transformer moisture and oxygen conditions. Â© 2020 Elsevier Ltd",NA,"2021.9614",NA,""
"Technology requirements, and social impacts of technology for at-scale coral reef restoration","Gibbs, Mark T.","2021","Technology In Society","The coral reefs of the world are in decline as a result of local and global stressors. Significant impacts are caused by ocean heat waves associated with increasing ocean temperatures as the oceans accommodate more and more of the heat produced as a result of the global emissions of greenhouse gases. In response, a global reef restoration sector is emerging with the aspiration to restore many of the worlds' reefs and increase their resilience to climate change and other stressors. However, the scale of the challenge is vast, and will realistically only be achieved through the development and application of new marine technology including for environmental surveillance and monitoring, material transfer (corals and coral rubble), new more resilient varieties of corals and the underpinning required data analytics. In addition, most reefs are located in low-income nations, including Small Island Nations and the level of complexity and ease of use of technologies being developed will dictate who can participate in at-scale restoration of the world's reefs, and correspondingly may lead to considerable social distributional impacts as some communities will be able to utilise emerging technologies whilst others may not.","Social Issues; Social Sciences - Other Topics","2021.16072","selected",""
"Reactive Power Compensation Capability of a STATCOM based on Two Types of Modular Multilevel Cascade Converters for Offshore Wind Application","Tanaka, Takaaki and Wang, Huai and Ma, Ke and Blaabjerg, Frede","2017","NANA","Static Synchronous Compensators (STATCOMs) have been applied for offshore wind power plants to satisfy the grid codes under both normal operation and grid fault conditions. This paper investigates the performances of two types of Modular Multilevel Cascade Converters (MMCC) for STATCOM applications, with the special focus on asymmetrical Low-Voltage-Ride-Through (LVRT) operation under grid faults. The design of an 80 MVar / 33 kV STATCOM is first presented. The electro-thermal stress of the power modules used in each type of MMCC is analyzed with voltage balancing control under grid faults. Finally, the reactive power compensation capability of the MMCC solutions is compared under different scenarios of grid faults, with considerations of the device temperature limits.","Engineering","2017.11447",NA,""
"Thermo-hydro-mechanical Analysis of an Offshore Monopile Foundation Used for Geothermal Energy Extraction and Storage","Banerjee, A. and Chakraborty, T. and Matsagar, V.","2018","Geotechnical And Geological Engineering","A novel concept of incorporating a heat exchanger system in an offshore wind turbine-monopile foundation and its effect on the stressâ€“strain response of pile are investigated in the present work. Thermo-mechanical analysis of the steel monopile with fluid carrying pipes is carried out using finite element method through heat flow and structural analyses. The effect of thermal loadingâ€“unloading cycle on the pile, the temperature distribution in the pile and soil, resultant pore pressure development in the soil, the axial stress and strain in the pile and the shear stresses in soil are studied. The thermal stresses and displacement of the piles are checked against the serviceability limits for the offshore structure. Â© 2018, Springer International Publishing AG, part of Springer Nature.",NA,"2018.13052",NA,""
"Low voltage ride through peformance of a STATCOM based on modular multilevel cascade converters for offshore wind application","Tanaka, T. and Wang, H. and Ma, K. and Blaabjerg, F.","2017","2017 Ieee Energy Conversion Congress And Exposition, Ecce 2017","Static Synchronous Compensators (STATCOMs) are being applied for offshore wind power plants to satisfy the grid codes under both normal operation and grid fault conditions. This paper investigates the performances of Modular Multilevel Cascade Converters (MMCC) for the STATCOM application, with special focus is on asymmetrical Low-Voltage-Ride-Through (LVRT) operation under grid faults. The design of an 80 MVar / 33 kV STATCOM is first presented. The electro-thermal stress of the power modules used in each type of MMCC is analyzed with voltage balancing control under asymmetrical grid faults. Finally, the reactive power compensation capability of the MMCC solutions is compared under different scenarios of grid faults, with the considerations of the device temperature limits and voltage saturation. The reactive power compensation capability among the MMCC solutions shows significant difference when the grid voltage is lower than 0.5 p.u. Â© 2017 IEEE.",NA,"2017.11720",NA,""
"Effects of fragmented mangroves on macrozoobenthos: a case study of mangrove clearance for powerline right-of-way at Oproama Creek, Niger Delta, Nigeria","Zabbey, N. and Ekpenyong, I. G. and Nwipie, G. N. and Davies, I. C. and Sam, K.","2021","African Journal Of Aquatic Science","Mangroves are vulnerable to varying magnitudes of degrading impact by human activities. Despite the many benefits of mangrove ecosystems, mangroves in the Niger Delta region are often cleared for electric powerline and oil pipeline rights-of-way, recreation, road construction, housing and farming. The study assessed the impacts of mangrove clearance on physico-chemical parameters of interstitial water and macrozoobenthic primary community structure in Oproama Creek, Nigeria, from February to July 2016. Three stations were selected for the study: two stations in more natural and undisturbed mangroves and one station at a mangrove clearing (for a national grid powerline right-of-way). Species richness and diversity were slightly higher at the undisturbed mangrove sites than the cleared site. Removal of mangrove canopy shade alters microclimate temperature regime and other temperature-dependent parameters, imposing thermal stress on stenothermal taxa and ancillary stressors that compositely affected primary community structure indices. Deliberate loss of mangroves through clearing waterfront vegetation as a driver for improved visual monitoring and enhanced security in the Oproama Community in the Niger Delta is reported for the first time. The wider implications of mangrove clearance and fragmentation on ecosystem-based goods and services are discussed. Limiting mangrove spatial loss owing to construction of an electric tower cutline within coastal landscape is strongly recommended.","Marine \& Freshwater Biology","2021.2697","excluded",""
